,date,cdb5y,cdb10y,loan5y,basis5y,basis10y,cdb5y_ma30,cdb10y_ma30,basis5y_ma30,basis10y_ma30,cdb5y_ma90,cdb10y_ma90,basis5y_ma90,basis10y_ma90,cdb5y_ma180,cdb10y_ma180,basis5y_ma180,basis10y_ma180,cdb5y_ma360,cdb10y_ma360,basis5y_ma360,basis10y_ma360,cdb5y_ma1800,cdb10y_ma1800,basis5y_ma1800,basis10y_ma1800
23,2002-01-24,3.1963,3.766,6.21,3.0137,2.444,,,,,,,,,,,,,,,,,,,,
24,2002-01-25,3.0043,3.653,6.21,3.2056999999999998,2.557,,,,,,,,,,,,,,,,,,,,
25,2002-01-26,3.0043,3.653,6.21,3.2056999999999998,2.557,,,,,,,,,,,,,,,,,,,,
26,2002-01-27,3.0043,3.653,6.21,3.2056999999999998,2.557,,,,,,,,,,,,,,,,,,,,
27,2002-01-28,3.0289,3.5517,6.21,3.1811,2.6583,,,,,,,,,,,,,,,,,,,,
28,2002-01-29,3.1164,3.6446,6.21,3.0936,2.5654,,,,,,,,,,,,,,,,,,,,
29,2002-01-30,3.0348,3.6031,6.21,3.1752,2.6069,3.0894566666666665,3.6742233333333334,3.1205433333333334,2.5357766666666666,,,,,,,,,,,,,,,,
30,2002-01-31,3.0602,3.5547,6.21,3.1498,2.6553,3.0887966666666666,3.6715533333333337,3.1212033333333333,2.5384466666666663,,,,,,,,,,,,,,,,
31,2002-02-01,2.6377,3.6685,5.76,3.1222999999999996,2.0915,3.074053333333333,3.672676666666667,2.6859466666666667,2.087323333333333,,,,,,,,,,,,,,,,
32,2002-02-02,2.6377,3.6685,5.76,3.1222999999999996,2.0915,3.0593099999999995,3.6738,2.7006900000000003,2.0862,,,,,,,,,,,,,,,,
33,2002-02-03,2.6377,3.6685,5.76,3.1222999999999996,2.0915,3.0445666666666664,3.674923333333333,2.7154333333333334,2.0850766666666667,,,,,,,,,,,,,,,,
34,2002-02-04,3.0278,3.5307,5.76,2.7321999999999997,2.2293,3.042826666666666,3.671453333333333,2.7171733333333337,2.0885466666666668,,,,,,,,,,,,,,,,
35,2002-02-05,3.0064,3.5489,5.76,2.7535999999999996,2.2110999999999996,3.040373333333333,3.66859,2.7196266666666666,2.0914099999999998,,,,,,,,,,,,,,,,
36,2002-02-06,2.9811,3.4461,5.76,2.7788999999999997,2.3139,3.0351266666666663,3.66044,2.7248733333333335,2.09956,,,,,,,,,,,,,,,,
37,2002-02-07,2.9984,3.4395,5.76,2.7615999999999996,2.3205,3.031203333333333,3.649733333333333,2.7287966666666668,2.110266666666667,,,,,,,,,,,,,,,,
38,2002-02-08,2.9917,3.4153,5.76,2.7683,2.3447,3.0266599999999997,3.6380966666666668,2.73334,2.121903333333333,,,,,,,,,,,,,,,,
39,2002-02-09,3.0118,3.4455,5.76,2.7481999999999998,2.3145,3.022616666666666,3.627273333333333,2.7373833333333337,2.1327266666666667,,,,,,,,,,,,,,,,
40,2002-02-10,2.9557,3.3283,5.76,2.8042999999999996,2.4316999999999998,3.016823333333333,3.61399,2.743176666666667,2.14601,,,,,,,,,,,,,,,,
41,2002-02-11,2.9559,3.3286,5.76,2.8040999999999996,2.4314,3.0110366666666666,3.600716666666666,2.748963333333333,2.1592833333333337,,,,,,,,,,,,,,,,
42,2002-02-12,2.9559,3.3286,5.76,2.8040999999999996,2.4314,3.0052499999999998,3.587443333333333,2.75475,2.172556666666667,,,,,,,,,,,,,,,,
43,2002-02-13,2.9559,3.3286,5.76,2.8040999999999996,2.4314,2.99964,3.574456666666666,2.76036,2.185543333333334,,,,,,,,,,,,,,,,
44,2002-02-14,2.9559,3.3286,5.76,2.8040999999999996,2.4314,2.994013333333333,3.5614866666666662,2.7659866666666666,2.1985133333333335,,,,,,,,,,,,,,,,
45,2002-02-15,2.9559,3.3286,5.76,2.8040999999999996,2.4314,2.98872,3.5495133333333326,2.77128,2.210486666666667,,,,,,,,,,,,,,,,
46,2002-02-16,2.9559,3.3286,5.76,2.8040999999999996,2.4314,2.9823,3.535959999999999,2.7777,2.224040000000001,,,,,,,,,,,,,,,,
47,2002-02-17,2.9559,3.3286,5.76,2.8040999999999996,2.4314,2.978226666666666,3.5244266666666655,2.7817733333333337,2.2355733333333343,,,,,,,,,,,,,,,,
48,2002-02-18,2.9559,3.3286,5.76,2.8040999999999996,2.4314,2.9741533333333328,3.512893333333332,2.785846666666667,2.2471066666666677,,,,,,,,,,,,,,,,
49,2002-02-19,3.0648,3.5036,5.76,2.6952,2.2563999999999997,2.973709999999999,3.5071933333333325,2.7862900000000006,2.2528066666666673,,,,,,,,,,,,,,,,
50,2002-02-20,2.9584,3.3816,5.76,2.8015999999999996,2.3783999999999996,2.9700633333333326,3.4981899999999992,2.789936666666667,2.2618100000000005,,,,,,,,,,,,,,,,
51,2002-02-21,2.8575,3.2333,5.76,2.9025,2.5267,2.9631133333333324,3.484826666666666,2.7968866666666674,2.275173333333334,,,,,,,,,,,,,,,,
52,2002-02-22,2.9878,3.477,5.76,2.7721999999999998,2.283,2.961706666666666,3.4821066666666662,2.798293333333334,2.2778933333333335,,,,,,,,,,,,,,,,
53,2002-02-23,2.9878,3.477,5.76,2.7721999999999998,2.283,2.954756666666666,3.472473333333333,2.8052433333333338,2.287526666666667,,,,,,,,,,,,,,,,
54,2002-02-24,2.9878,3.477,5.76,2.7721999999999998,2.283,2.954206666666666,3.466606666666666,2.805793333333334,2.293393333333334,,,,,,,,,,,,,,,,
55,2002-02-25,2.9562,3.2711,5.76,2.8038,2.4888999999999997,2.952603333333333,3.453876666666666,2.807396666666667,2.3061233333333337,,,,,,,,,,,,,,,,
56,2002-02-26,2.9496,3.3587,5.76,2.8103999999999996,2.4013,2.9507799999999995,3.4440666666666657,2.8092200000000003,2.315933333333334,,,,,,,,,,,,,,,,
57,2002-02-27,2.8572,3.3852,5.76,2.9027999999999996,2.3747999999999996,2.9450566666666664,3.4385166666666658,2.8149433333333334,2.321483333333334,,,,,,,,,,,,,,,,
58,2002-02-28,2.8466,3.3758,5.76,2.9133999999999998,2.3842,2.936063333333333,3.4295566666666657,2.823936666666667,2.330443333333334,,,,,,,,,,,,,,,,
59,2002-03-01,2.8608,3.292,5.76,2.8992,2.468,2.930263333333333,3.419186666666666,2.829736666666667,2.3408133333333336,,,,,,,,,,,,,,,,
60,2002-03-02,2.8608,3.292,5.76,2.8992,2.468,2.9236166666666663,3.4104299999999994,2.8363833333333335,2.3495700000000004,,,,,,,,,,,,,,,,
61,2002-03-03,2.8608,3.292,5.76,2.8992,2.468,2.931053333333333,3.39788,2.828946666666667,2.36212,,,,,,,,,,,,,,,,
62,2002-03-04,2.8316,3.2765,5.76,2.9284,2.4835,2.9375166666666663,3.3848133333333332,2.8224833333333335,2.3751866666666666,,,,,,,,,,,,,,,,
63,2002-03-05,2.8866,3.1804,5.76,2.8733999999999997,2.5795999999999997,2.945813333333333,3.3685433333333337,2.8141866666666666,2.391456666666666,,,,,,,,,,,,,,,,
64,2002-03-06,2.8027,3.1617,5.76,2.9572999999999996,2.5982999999999996,2.93831,3.3562433333333335,2.82169,2.4037566666666663,,,,,,,,,,,,,,,,
65,2002-03-07,2.7488,3.2096,5.76,3.0111999999999997,2.5504,2.9297233333333335,3.344933333333333,2.8302766666666663,2.4150666666666667,,,,,,,,,,,,,,,,
66,2002-03-08,2.7812,3.2434,5.76,2.9787999999999997,2.5166,2.92306,3.3381766666666666,2.83694,2.421823333333333,,,,,,,,,,,,,,,,
67,2002-03-09,2.7812,3.2434,5.76,2.9787999999999997,2.5166,2.9158199999999996,3.3316399999999997,2.84418,2.42836,,,,,,,,,,,,,,,,
68,2002-03-10,2.7812,3.2434,5.76,2.9787999999999997,2.5166,2.908803333333333,3.3259099999999995,2.8511966666666666,2.4340900000000003,,,,,,,,,,,,,,,,
69,2002-03-11,2.7562,3.2655,5.76,3.0037999999999996,2.4945,2.9002833333333338,3.3199099999999997,2.859716666666666,2.44009,,,,,,,,,,,,,,,,
70,2002-03-12,2.7839,3.2246,5.76,2.9760999999999997,2.5353999999999997,2.894556666666667,3.316453333333333,2.865443333333333,2.4435466666666668,,,,,,,,,,,,,,,,
